Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #,,
31/03/2020,Tuesday,8:00 AM,Tammy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Express LIVESTREAM,Signed in,Yes,626134,
30/03/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
26/03/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,Yes,626134,
24/03/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates,Signed in,Yes,626134,
23/03/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
16/03/2020,Monday,5:15 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
11/03/2020,Wednesday,4:15 PM,Sumit,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
10/03/2020,Tuesday,4:30 PM,Richard,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
04/03/2020,Wednesday,4:15 PM,Bernardo,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
02/03/2020,Monday,5:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
26/02/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
24/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
20/02/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
19/02/2020,Wednesday,5:30 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
18/02/2020,Tuesday,6:00 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
17/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
06/02/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
05/02/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
03/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
30/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
29/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
28/01/2020,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
27/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
24/01/2020,Friday,5:00 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
23/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
22/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Absent,No,626134,
20/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
16/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
15/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
13/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
08/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
07/01/2020,Tuesday,4:30 PM,Adrian,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
06/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
03/01/2020,Friday,5:15 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
30/12/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
29/12/2019,Sunday,4:00 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
16/12/2019,Monday,5:15 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
10/12/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
09/12/2019,Monday,5:15 PM,Richard,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
05/12/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
04/12/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
02/12/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
28/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
