Date,Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #
25/06/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
23/06/2018,Saturday,8:30ÊAM,Fiona,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
23/06/2018,Saturday,10:00ÊAM,Lizzie,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Yin Yang Yoga,Signed in,No,371928
21/06/2018,Thursday,6:00ÊPM,Adrian,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
19/06/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
18/06/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
16/06/2018,Saturday,4:00ÊPM,Esak,BYL Canary Wharf,Workshop & Masterclass w/ESAK GARCIA £55,Masterclass w/ESAK GARCIA,Signed in,No,431724
16/06/2018,Saturday,12:00ÊPM,Esak,BYL Canary Wharf,Workshop & Masterclass w/ESAK GARCIA £55,Workshop & Masterclass w/ESAK GARCIA,Signed in,No,431724
14/06/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
13/06/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
11/06/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
09/06/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
07/06/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
06/06/2018,Wednesday,5:15ÊPM,Marta,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
05/06/2018,Tuesday,6:00ÊPM,Almania,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
04/06/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
23/05/2018,Wednesday,5:15ÊPM,Marta,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
22/05/2018,Tuesday,6:00ÊPM,Almania,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
21/05/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
19/05/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
17/05/2018,Thursday,6:00ÊPM,Kirsty,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
16/05/2018,Wednesday,7:15ÊPM,Andy,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Absent,No,371928
16/05/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
